window_start,k_mgl,mg_mgl,no3,ca,nh4,site
1986-05-20,0.8166666666666667,3.1066666666666665,113.66666666666667,3.9366666666666665,NA,Q1
1986-07-22,NA,NA,NA,NA,NA,Q1
1986-09-23,0.656,2.69,126.66666666666667,4.368,25.4,Q1
1986-11-25,0.6744444444444444,2.5877777777777777,154.33333333333334,3.78,21.75,Q1
1987-01-27,0.7244444444444444,2.977777777777778,132.22222222222223,4.166666666666667,18.4,Q1
1987-03-31,0.8466666666666667,2.4299999999999997,146.44444444444446,3.7566666666666664,41.66666666666667,Q1
1987-06-02,0.8077777777777778,2.522222222222222,157.66666666666666,3.893333333333333,73.77777777777777,Q1
1987-08-04,0.77,2.1716666666666664,182.30769230769232,3.3666666666666667,44.53846153846154,Q1
1987-10-06,0.737,2.349,163.77777777777777,3.726,16.25,Q1
1987-12-08,0.7873333333333333,2.0086666666666666,162.33333333333334,3.2173333333333334,24,Q1
1988-02-09,0.90125,1.99375,206.9375,3.10375,20.6875,Q1
1988-04-12,0.8766666666666667,2.251,151.7,3.19,64.2,Q1
1988-06-14,0.7655555555555555,2.267,NA,3.2977777777777777,113,Q1
1988-08-16,0.7553846153846154,2.046666666666667,93.83333333333334,2.8038461538461537,37.2,Q1
1988-10-18,0.89375,2.61875,141.77777777777777,4.1625,46,Q1
1988-12-20,0.8588888888888889,2.502222222222222,153,4.32875,NA,Q1
1989-02-21,0.8366666666666667,2.73,130.88888888888889,4.14,NA,Q1
1989-04-25,0.9377777777777778,2.997777777777778,141,4.794444444444444,NA,Q1
1989-06-27,0.9444444444444444,2.5477777777777777,116.625,3.991111111111111,NA,Q1
1989-08-29,1.049090909090909,2.781,81.6,4.265,NA,Q1
1989-10-31,1.232,3.237,324.1,5.118,NA,Q1
1990-01-02,1.268888888888889,3.3233333333333333,118,5.847777777777778,NA,Q1
1990-03-06,1.4038461538461537,2.5215384615384617,480.6363636363637,4.291538461538462,NA,Q1
1990-05-08,1.238,3.11,208.1,5.267,NA,Q1
1990-07-10,1.0133333333333334,3.2533333333333334,117.44444444444443,5.6433333333333335,NA,Q1
1990-09-11,0.9322222222222222,2.997777777777778,97.83333333333334,5.207777777777778,NA,Q1
1990-11-13,1.0736363636363637,2.7827272727272727,132.0909090909091,4.642727272727273,NA,Q1
1991-01-15,0.8144444444444444,3.223333333333333,87.85714285714286,5.7844444444444445,NA,Q1
1991-03-19,0.8333333333333334,2.9811111111111113,59.777777777777786,5.421111111111111,NA,Q1
1991-05-21,0.914,3.0629999999999997,54.75,5.314,NA,Q1
1991-07-23,1.012,3.801,40.77777777777778,6.164,NA,Q1
1991-09-24,1.1225,2.8266666666666667,80.5,4.400833333333333,NA,Q1
1991-11-26,1.1477777777777778,3.0455555555555556,188.375,5.041111111111111,NA,Q1
1992-01-28,1.1520000000000001,3.128,151,5.376,NA,Q1
1992-03-31,1.051111111111111,3.3244444444444445,63.125,5.618888888888889,NA,Q1
1992-06-02,1.1566666666666667,2.8633333333333333,58.25,4.7877777777777775,NA,Q1
1992-08-04,1.1144444444444446,3.236666666666667,102.66666666666666,5.694444444444445,NA,Q1
1992-10-06,0.9877777777777778,3.002222222222222,76.28571428571429,5.384444444444444,NA,Q1
1992-12-08,1.0822222222222222,2.897777777777778,20.5,4.845555555555555,NA,Q1
1993-02-09,1.12,3.4466666666666668,125.33333333333333,5.72,NA,Q1
1993-04-13,1.22,3.4755555555555557,69.11111111111111,5.415555555555556,NA,Q1
1993-06-15,1.018888888888889,2.9566666666666666,39.2,5.483333333333333,NA,Q1
1993-08-17,1.0933333333333333,3.281111111111111,43.111111111111114,5.704444444444444,NA,Q1
1993-10-19,1.1277777777777778,3.2733333333333334,12.444444444444445,5.831111111111111,NA,Q1
1993-12-21,1.0355555555555556,2.8844444444444446,25.333333333333332,5.3133333333333335,NA,Q1
1994-02-22,1.0655555555555556,3.3433333333333333,86.75,5.968888888888889,NA,Q1
1994-04-26,1.1566666666666667,3.7,17.444444444444443,6.6466666666666665,NA,Q1
1994-06-28,1.143,3.505,94.75,6.196,NA,Q1
1994-08-30,1.22,3.3455555555555554,NA,6.12,NA,Q1
1994-11-01,1.0988888888888888,3.0444444444444443,109,5.645555555555555,NA,Q1
1986-05-20,0.79,3.0033333333333334,208.66666666666666,4.9,NA,Q2
1986-07-22,NA,NA,NA,NA,NA,Q2
1986-09-23,0.716,2.43,206.6,4.946,22.6,Q2
1986-11-25,0.6922222222222223,2.5211111111111113,268.1111111111111,4.742222222222222,17.25,Q2
1987-01-27,0.76,2.658888888888889,219.625,4.924444444444444,14,Q2
1987-03-31,0.9455555555555556,2.29,259.85714285714283,4.682222222222222,39,Q2
1987-06-02,0.8188888888888889,2.49,232.77777777777777,4.915555555555556,70.66666666666667,Q2
1987-08-04,0.8530769230769231,2.037692307692308,231.3846153846154,4.03,32.84615384615385,Q2
1987-10-06,0.856,2.0949999999999998,191,4.21,12.1,Q2
1987-12-08,0.8668421052631579,2.04,253.86666666666667,4.324736842105263,18.36842105263158,Q2
1988-02-09,0.7775,2.34625,185,4.33875,18.857142857142858,Q2
1988-04-12,0.807,2.187,216.7,3.868,57.55555555555556,Q2
1988-06-14,0.7545454545454545,2.2381818181818183,NA,3.561818181818182,67.5,Q2
1988-08-16,0.7761538461538462,2.0591666666666666,184.72727272727272,3.805,26.25,Q2
1988-10-18,0.8475,2.38125,224.125,4.18625,61,Q2
1988-12-20,0.9077777777777778,2.4833333333333334,219.11111111111111,4.488888888888889,NA,Q2
1989-02-21,0.8377777777777777,2.7688888888888887,224.9,4.62,NA,Q2
1989-04-25,0.9366666666666666,2.6755555555555555,174,4.58,NA,Q2
